input_order,ligand_id,Canonical SMILES,Butina_clusters,cluster_size,cluster_center_ligand_id
247,320,COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,8061,1,320
248,321,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,8060,1,321
249,322,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1129,3,322
250,323,CN(C)CCC(c1ccccc1)c1ccccn1,8059,1,323
251,324,CN(C)N,8058,1,324
252,325,CCCCCCCC(=O)O,31,16,47
253,326,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,26,17,272
254,327,CC(=O)O,8057,1,327
255,328,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,8056,1,328
256,332,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,8055,1,332
257,333,C=CCO,8054,1,333
258,334,C=CCc1ccccc1OCC(O)CNC(C)C,651,4,334
259,335,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,8053,1,335
260,336,Nc1ccncc1N,8052,1,336
261,337,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,8051,1,337
262,338,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,8050,1,338
263,339,Cc1cc(=O)n(-c2ccccc2)n1C,8049,1,339
264,340,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O,135,6,340
265,343,CCC1(CC)C(=O)NC(=O)NC1=O,8048,1,343
266,344,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,1180,2,344
267,345,CC(c1ccccc1)C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,8047,1,345
268,346,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,8046,1,346
269,348,NCCc1ccn[nH]1,8045,1,348
270,350,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,8044,1,350
271,352,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,335,2,352
272,353,CC(C)(S)C(=O)NC(CS)C(=O)O,8043,1,353
273,356,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,8042,1,356
274,357,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,449,5,357
275,358,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1692,2,358
276,359,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,1137,2,111
277,360,CC=CCC=CCCC(=O)C1OC1C(N)=O,8041,1,360
278,361,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,446,4,361
279,362,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,696,4,362
